,0
485,henning-backer-59094
486,joachim-backstrom-8363
487,petri-backstrom-14075
488,anton-baculik-33130
489,khachatur-badalyan-9722
490,vahan-badalyan-107692
491,alexandru-badea-546
492,hans-dieter-bader-6768
493,vasile-badescu-105971
494,yannick-badier-33768
495,paul-badley-82409
496,peter-badura-13902
497,jae-chul-bae-7666
498,jaehan-bae-61593
499,youngkwang-bae-97818
500,paolo-baebacini-81948
501,noah-baegte-80722
502,yoonki-baek-97723
503,yoonki-baek-18090
504,noah-baetge-80723
505,alexander-baev-2120409
506,evgenii-baev-2121454
507,erik-bagger-24327
508,mario-bagh-101469
509,anar-baghirov-38194
510,matteo-bagni-33626
511,michal-bagniewski-77168
512,mario-bahg-103433
513,marco-bahr-73262
514,zhengyi-bai-105881
515,angel-baile-2112532
516,grady-bailey-57484
517,james-bailey-107392
518,james-e-bailey-61758
519,james-s-bailey-61837
520,robin-bailey-86301
521,andrew-bain-30639
522,simon-bainbridge-15847
523,meir-baineshov-76908
524,przemyslaw-bainski-84280
525,ambroz-bajec-lapajne-37943
526,frederik-bak-25363
527,martin-bakari-34051
528,mark-baker-11541
529,robert-baker-14767
530,samuel-baker-105732
531,simon-baker-15848
532,william-baker-19774
533,yalda-bakhtiarnia-97370
534,alina-bakiev-37625
535,annemaaike-bakker-40362
536,gabor-bakos-kiss-56022
537,dardan-bakraqi-112042
538,xhelal-bakraqi-97292
539,lawrence-bakst-10158
540,alexander-bakulin-2113674
541,ramzat-balakishiyev-84802
542,cristian-balasescu-3485
543,oleg-balashov-13337
544,sergey-balashov-15644
545,sergej-balasov-88843
546,peter-balczo-14273
547,evgeny-baldanov-105767
548,thomas-baldino-92924
549,jason-baldwin-62493
550,jose-balestrini-65247
551,hakki-balkas-111292
552,jon-michael-ball-8678
553,manfred-ball-72792
554,michael-ballam-19554
555,frederick-ballentine-31709
556,santiago-ballerini-23209
557,alberto-ballesta-110039
558,jose-ballestrin-65248
559,pietro-ballo-14212
560,dominique-bals-4341
561,oleg-balshov-81124
562,dario-balzanelli-3825
563,colin-balzer-3383
564,johannes-bamberger-33639
565,sean-banayan-88498
566,janos-bandi-7904
567,neal-banerjee-12960
568,daniel-banez-48122
569,alex-banfield-101539
570,jun-seok-bang-66421
571,ole-aleksander-bang-31681
572,barry-banks-1942
573,richard-bannan-85583
574,curtis-bannister-2120280
575,kenneth-bannon-9652
576,david-banos-24381
577,florian-bansch-54447
578,nicolae-bantea-80135
579,andoni-baranano-38362
580,rapolas-baranauskas-114747
581,aleksandar-baranov-2112647
582,alexander-baranov-36918
583,michal-jan-baranski-2118894
584,antonio-barasorda-1624
585,emanuela-barazia-4935
586,zachary-barba-100843
587,tiziano-barbafiera-93628
588,igor-barbakov-59922
589,walter-barbaria-96448
590,fidel-barbarito-54235
591,robert-barbaro-34342
592,rene-barbera-14559
593,andres-barbery-22159
594,stanilas-de-barbeyrac-99810
595,claudio-barbieri-47020
596,massimiliano-barbolini-19532
597,julliano-barcellos-66407
